id,tipo,fecha,hora,provincia,corregimiento,latitud,longitud,arma_utilizada,locacion,anio,mes,dia_semana,zona,crimen
CR-2024-000003,Robo,2024-01-01,1,Panamá,24 de Diciembre,9.099568,-79.353599,Arma blanca,Comercio,2024,1,0,24 de Diciembre,Robo
CR-2024-000007,Robo,2024-01-01,3,Panamá,Pedregal,9.066752,-79.47822,Arma blanca,Estacionamiento,2024,1,0,Pedregal,Robo
CR-2024-000009,Robo,2024-01-01,5,Panamá Oeste,Vacamonte,8.916984,-79.71681,Sin arma (intimidación),Centro Comercial,2024,1,0,Vacamonte,Robo
CR-2024-000002,Robo,2024-01-01,10,Panamá,24 de Diciembre,9.103163,-79.34752,Arma de fuego,Comercio,2024,1,0,24 de Diciembre,Robo
CR-2024-000005,Robo,2024-01-01,13,Panamá Oeste,Barrio Colón,8.873897,-79.784622,Arma blanca,Estacionamiento,2024,1,0,Barrio Colón,Robo
CR-2024-000001,Homicidio,2024-01-01,18,Panamá,Pacora,9.088135,-79.278113,Objeto contundente,Vía Pública,2024,1,0,Pacora,Homicidio
CR-2024-000008,Robo,2024-01-01,18,Panamá,Pueblo Nuevo,8.996183,-79.519755,Sin arma (intimidación),Vía Pública,2024,1,0,Pueblo Nuevo,Robo
CR-2024-000004,Robo,2024-01-01,19,Panamá Oeste,Barrio Colón,8.880843,-79.788517,Sin arma (intimidación),Comercio,2024,1,0,Barrio Colón,Robo
CR-2024-000010,Robo,2024-01-01,19,Panamá Oeste,Vacamonte,8.915504,-79.703085,Arma de fuego,Vía Pública,2024,1,0,Vacamonte,Robo
CR-2024-000006,Robo,2024-01-01,22,Panamá Oeste,Capira Cabecera,8.755586,-79.883175,Arma blanca,Vía Pública,2024,1,0,Capira Cabecera,Robo
CR-2024-000027,Robo,2024-01-02,0,Panamá,Tocumen,9.080887,-79.380331,Arma de fuego,Vía Pública,2024,1,1,Tocumen,Robo
CR-2024-000030,Robo,2024-01-02,1,Panamá,Tocumen,9.081403,-79.381738,Sin arma (intimidación),Estacionamiento,2024,1,1,Tocumen,Robo
CR-2024-000018,Robo,2024-01-02,2,Panamá,Curundú,8.970462,-79.5489,Arma de fuego,Comercio,2024,1,1,Curundú,Robo
CR-2024-000012,Homicidio,2024-01-02,3,Panamá,Belisario Porras,9.055634,-79.499176,Arma blanca,Vía Pública,2024,1,1,Belisario Porras,Homicidio
CR-2024-000022,Robo,2024-01-02,6,Panamá,Juan Díaz,9.049244,-79.452024,Arma blanca,Comercio,2024,1,1,Juan Díaz,Robo
CR-2024-000032,Robo,2024-01-02,6,Panamá Oeste,Vista Alegre,8.947902,-79.698673,Sin arma (intimidación),Comercio,2024,1,1,Vista Alegre,Robo
CR-2024-000017,Robo,2024-01-02,7,Panamá,Calidonia,8.968277,-79.536678,Arma de fuego,Vía Pública,2024,1,1,Calidonia,Robo
CR-2024-000025,Robo,2024-01-02,10,Panamá,Rufina Alfaro,9.046591,-79.490882,Arma blanca,Vía Pública,2024,1,1,Rufina Alfaro,Robo
CR-2024-000014,Homicidio,2024-01-02,11,Panamá,Juan Díaz,9.047073,-79.45184,Arma de fuego,Vía Pública,2024,1,1,Juan Díaz,Homicidio
CR-2024-000019,Robo,2024-01-02,15,Panamá,Curundú,8.968916,-79.552571,Arma de fuego,Comercio,2024,1,1,Curundú,Robo
CR-2024-000024,Robo,2024-01-02,15,Panamá,Pedregal,9.066762,-79.478034,Arma de fuego,Transporte Público,2024,1,1,Pedregal,Robo
CR-2024-000023,Robo,2024-01-02,16,Panamá,Las Mañanitas,9.090443,-79.427667,Arma de fuego,Centro Comercial,2024,1,1,Las Mañanitas,Robo
CR-2024-000026,Robo,2024-01-02,16,Panamá,Rufina Alfaro,9.047769,-79.486293,Sin arma (intimidación),Centro Comercial,2024,1,1,Rufina Alfaro,Robo
